SeqName: ORFS:ptns	Description hits against Uniprotkb Nematodes	Length	#Hits	e-Value	sim mean										
comp10000_c0_seq1|m.11327	tr:w6nbi4_haecow6nbi4 pap 25a-associated domain containing protein os=haemonchus contortus gn=hcoi_01482100 pe=4 sv=1	448	20	0.0E0	76%										
comp10000_c0_seq2|m.11328	tr:w6nbi4_haecow6nbi4 pap 25a-associated domain containing protein os=haemonchus contortus gn=hcoi_01482100 pe=4 sv=1	462	20	0.0E0	73.5%										
comp10001_c0_seq1|m.11329	tr:u6pwb0_haecou6pwb0 interferon-related developmental regulator domain containing protein os=haemonchus contortus gn=hcoi_02165700 pe=4 sv=1	419	20	0.0E0	74.15%										
comp10001_c0_seq2|m.11330	tr:u6pwb0_haecou6pwb0 interferon-related developmental regulator domain containing protein os=haemonchus contortus gn=hcoi_02165700 pe=4 sv=1	237	20	7.8E-98	71.8%										
comp10002_c0_seq1|m.11331	tr:u6pu54_haecou6pu54 casein kinase ii subunit beta os=haemonchus contortus gn=hcoi_02133400 pe=3 sv=1	218	20	8.9E-122	77.15%										
comp10002_c0_seq1|m.11332	tr:w2t901_necamw2t901 phenylalanine--trna beta subunit os=necator americanus gn=necame_10428 pe=4 sv=1	186	20	2.1E-104	90.2%										
comp10003_c0_seq1|m.11333	tr:u6nj75_haecou6nj75 cullin and cullin protein and glycosyl transferase domain containing protein os=haemonchus contortus gn=hcoi_00219900 pe=3 sv=1	538	20	0.0E0	71.05%										
comp10003_c0_seq2|m.11334	tr:u6nj75_haecou6nj75 cullin and cullin protein and glycosyl transferase domain containing protein os=haemonchus contortus gn=hcoi_00219900 pe=3 sv=1	189	20	4.0E-57	59.2%										
comp10004_c0_seq1|m.11335	tr:a0a0d6lfj9_9bilaa0 a0d6lfj9 ankyrin repeat protein os=ancylostoma ceylanicum gn=anccey_10068 pe=4 sv=1	285	20	6.0E-116	67.7%										
comp10006_c0_seq2|m.11337	tr:u6pgb9_haecou6pgb9 ise inbred ise genomic scaffold_pathogens_hcontortus_scaffold_4507 os=haemonchus contortus gn=hcoi_01419700 pe=4 sv=1	434	14	0.0E0	55.64%										
comp10006_c0_seq3|m.11338	tr:u6pgb9_haecou6pgb9 ise inbred ise genomic scaffold_pathogens_hcontortus_scaffold_4507 os=haemonchus contortus gn=hcoi_01419700 pe=4 sv=1	428	15	0.0E0	58%										
comp10007_c0_seq1|m.11339	tr:u6pyc5_haecou6pyc5 cg-1 and cell surface receptor ipt tig and ankyrin domain containing protein os=haemonchus contortus gn=hcoi_02168400 pe=4 sv=1	1062	20	0.0E0	68.7%										
comp10007_c0_seq2|m.11341	tr:u6pyc5_haecou6pyc5 cg-1 and cell surface receptor ipt tig and ankyrin domain containing protein os=haemonchus contortus gn=hcoi_02168400 pe=4 sv=1	832	20	0.0E0	68.05%										
comp10008_c0_seq1|m.11343	tr:u6nyn0_haecou6nyn0 potassium channel domain containing protein os=haemonchus contortus gn=hcoi_00473200 pe=4 sv=1	290	20	4.0E-145	84.7%										
comp10009_c0_seq1|m.11344	tr:u6plc4_haecou6plc4 double-stranded rna binding domain containing protein os=haemonchus contortus gn=hcoi_01841800 pe=4 sv=1	351	20	3.5E-108	58.65%										
comp10010_c0_seq1|m.11346	tr:a0a0d8xvh4_dicvia0a0d8xvh4 60s ribosomal protein l36 os=dictyocaulus viviparus gn=dicviv_06104 pe=3 sv=1	280	20	3.5E-112	69.5%										
comp10010_c0_seq2|m.11348	tr:a0a0d8xvh4_dicvia0a0d8xvh4 60s ribosomal protein l36 os=dictyocaulus viviparus gn=dicviv_06104 pe=3 sv=1	319	20	6.1E-147	67.15%										
comp10014_c0_seq2|m.11354	tr:u6nr73_haecou6nr73 acyl- thioesterase domain containing protein os=haemonchus contortus gn=hcoi_00503100 pe=4 sv=1	372	20	0.0E0	81.3%										
comp10017_c0_seq1|m.11356	tr:u6nnm3_haecou6nnm3 tetratricopeptide tpr-1 and sel1 and tetratricopeptide tpr2 domain containing protein os=haemonchus contortus gn=hcoi_00109400 pe=4 sv=1	339	20	0.0E0	86.85%										
comp10017_c0_seq2|m.11358	tr:u6nnm3_haecou6nnm3 tetratricopeptide tpr-1 and sel1 and tetratricopeptide tpr2 domain containing protein os=haemonchus contortus gn=hcoi_00109400 pe=4 sv=1	1127	20	0.0E0	79.8%										
comp10017_c0_seq3|m.11363	uncharacterised protein Angiostrongylus cantonensis	106	0	-	-										
comp10017_c0_seq3|m.11362	tr:a0a0c2d3j6_9bilaa0a0c2d3j6 atp synthase epsilon subunit os=ancylostoma duodenale gn=ancduo_05668 pe=4 sv=1	202	19	4.0E-111	66.58%										
comp10018_c0_seq3|m.11366	tr:a0a0d8xjr3_dicvia0a0d8xjr3 surf1 family protein os=dictyocaulus viviparus gn=dicviv_11412 pe=4 sv=1	408	20	1.9E-139	66.4%										
comp10018_c0_seq4|m.11367	tr:a0a0d8xjr3_dicvia0a0d8xjr3 surf1 family protein os=dictyocaulus viviparus gn=dicviv_11412 pe=4 sv=1	392	20	3.8E-136	67.25%										
comp10019_c0_seq1|m.11369	tr:q17163_brumaq17163 a2 basement membrane collagen os=brugia malayi pe=4 sv=1	175	7	8.7E-9	49.29%										
comp10019_c0_seq2|m.11371	tr:c7bvp6_angcac7bvp6 alpha-collagen os=angiostrongylus cantonensis gn=alpha-collagen pe=2 sv=1	247	20	1.9E-62	74%										
comp10021_c0_seq1|m.11375	tr:u6pqh3_haecou6pqh3 ribosomal protein l9 and ubiquitin interacting motif domain containing protein os=haemonchus contortus gn=hcoi_01995100 pe=4 sv=1	367	20	1.0E-146	87.95%										
comp10022_c0_seq1|m.11376	tr:u6pmd6_haecou6pmd6 protein rod-1 os=haemonchus contortus gn=hcoi_01595400 pe=4 sv=1	1507	20	0.0E0	57.3%										
comp10022_c0_seq2|m.11377	tr:u6pmd6_haecou6pmd6 protein rod-1 os=haemonchus contortus gn=hcoi_01595400 pe=4 sv=1	1392	20	0.0E0	57.4%										
comp10023_c0_seq1|m.11378	tr:a0a0d8xr01_dicvia0a0d8xr01 t1 family os=dictyocaulus viviparus gn=dicviv_07734 pe=4 sv=1	230	20	7.6E-132	86.8%										
comp10026_c0_seq1|m.11382	tr:u6p9f6_haecou6p9f6 transcription factor cbf nf-y archaeal histone domain containing protein os=haemonchus contortus gn=hcoi_00923700 pe=4 sv=1	165	20	3.2E-93	85.45%										
comp10029_c0_seq1|m.11385	tr:u6pcv3_haecou6pcv3 3 -5 exonuclease and helicase rnase d c-terminal domain containing protein os=haemonchus contortus gn=hcoi_01446300 pe=4 sv=1	878	20	0.0E0	63.2%										
comp10031_c0_seq1|m.11387	tr:u6nqv1_haecou6nqv1 briggsae cbr-pqn-20 protein os=haemonchus contortus gn=hcoi_00439300 pe=4 sv=1	561	16	4.0E-136	67.88%										
comp10032_c0_seq1|m.11389	tr:u6pdy6_haecou6pdy6 eukaryotic translation initiation factor 3 subunit c os=haemonchus contortus gn=hcoi_01401900 pe=3 sv=1	915	20	0.0E0	80.75%										
comp10033_c0_seq1|m.11391	tr:u6nq80_haecou6nq80 protein npp- isoform b os=haemonchus contortus gn=hcoi_00291100 pe=4 sv=1	365	20	4.5E-134	66.4%										
comp10033_c0_seq2|m.11392	tr:u6nq80_haecou6nq80 protein npp- isoform b os=haemonchus contortus gn=hcoi_00291100 pe=4 sv=1	564	20	0.0E0	66.75%										
comp10034_c0_seq1|m.11394	tr:u6pha2_haecou6pha2 succinate dehydrogenase	444	20	0.0E0	70.5%										
comp10035_c0_seq2|m.11396	tr:a0a0c2guh7_9bilaa0a0c2guh7 hect-domain protein os=ancylostoma duodenale gn=ancduo_07072 pe=4 sv=1	233	20	1.3E-79	69.6%										
comp10035_c0_seq3|m.11397	tr:w2sn99_necamw2sn99 transcription factor btf3 os=necator americanus gn=necame_14860 pe=3 sv=1	176	20	2.0E-64	73.05%										
