SeqName: ORFS:ptns	Description hits againt uniruniref100	Length	#Hits	e-Value	sim mean										
comp10000_c0_seq1|m.11327	uniref100_w6nbi4 pap 25a-associated domain containing protein n=2 tax=haemonchus contortus =w6nbi4_haeco	448	20	0.0E0	73.6%										
comp10000_c0_seq2|m.11328	uniref100_w6nbi4 pap 25a-associated domain containing protein n=2 tax=haemonchus contortus =w6nbi4_haeco	462	20	0.0E0	71.1%										
comp10001_c0_seq1|m.11329	uniref100_u6pwb0 interferon-related developmental regulator domain containing protein n=1 tax=haemonchus contortus =u6pwb0_haeco	419	20	0.0E0	71.8%										
comp10001_c0_seq2|m.11330	uniref100_u6pwb0 interferon-related developmental regulator domain containing protein n=1 tax=haemonchus contortus =u6pwb0_haeco	237	20	4.6E-89	68.8%										
comp10002_c0_seq1|m.11331	uniref100_u6pu54 casein kinase ii subunit beta n=1 tax=haemonchus contortus =u6pu54_haeco	218	20	2.5E-92	77.25%										
comp10002_c0_seq1|m.11332	uniref100_w2t901 phenylalanine--trna beta subunit n=1 tax=necator americanus =w2t901_necam	186	20	1.4E-102	88.65%										
comp10003_c0_seq1|m.11333	uniref100_u6nj75 cullin and cullin protein and glycosyl transferase domain containing protein n=1 tax=haemonchus contortus =u6nj75_haeco	538	20	0.0E0	69.4%										
comp10003_c0_seq2|m.11334	uniref100_u6nj75 cullin and cullin protein and glycosyl transferase domain containing protein n=1 tax=haemonchus contortus =u6nj75_haeco	189	18	2.6E-55	59.94%										
comp10004_c0_seq1|m.11335	uniref100_a0a0c2gns5 ankyrin repeat protein n=1 tax=ancylostoma duodenale =a0a0c2gns5_9bila	285	20	5.1E-114	63.75%										
comp10006_c0_seq2|m.11337	uniref100_A0A0K0CX57 Uncharacterized protein OS=Angiostrongylus cantonensis  	434	9	8.2E-78	57.11%										
comp10006_c0_seq3|m.11338	uniref100_A0A0K0CX57 Uncharacterized protein OS=Angiostrongylus cantonensis	428	11	5.2E-86	58.91%										
comp10007_c0_seq1|m.11339	uniref100_u6pyc5 cg-1 and cell surface receptor ipt tig and ankyrin domain containing protein n=1 tax=haemonchus contortus =u6pyc5_haeco	1062	20	0.0E0	67.3%										
comp10007_c0_seq2|m.11341	uniref100_u6pyc5 cg-1 and cell surface receptor ipt tig and ankyrin domain containing protein n=1 tax=haemonchus contortus =u6pyc5_haeco	832	20	0.0E0	66.1%										
comp10008_c0_seq1|m.11343	uniref100_u6nyn0 potassium channel domain containing protein n=1 tax=haemonchus contortus =u6nyn0_haeco	290	20	3.5E-143	86.55%										
